order,original_clip_idx,filename,class_label,class_name,demand_env,snr_db,beep_start_s,clip_start_s,clip_end_s,ravdess_files
157,109,calm_speech_OHALLWAY_009.wav,1,calm_speech,OHALLWAY,8.2,7644.0,7648.0,7693.0,03-01-02-02-02-01-21.wav|03-01-01-01-01-02-24.wav|03-01-02-02-02-02-03.wav|03-01-01-01-02-01-13.wav|03-01-02-02-02-01-04.wav|03-01-01-01-02-01-05.wav|03-01-02-01-01-02-05.wav|03-01-01-01-01-02-08.wav|03-01-02-02-01-02-13.wav|03-01-01-01-01-02-02.wav|03-01-02-02-02-01-14.wav
158,12,background_DLIVING_002.wav,0,background,DLIVING,N/A,7693.0,7697.0,7742.0,N/A
159,19,background_DLIVING_009.wav,0,background,DLIVING,N/A,7742.0,7746.0,7791.0,N/A
160,149,distress_PRESTO_009.wav,2,distress,PRESTO,12.8,7791.0,7795.0,7840.0,03-01-05-01-02-01-21.wav|03-01-06-01-02-02-09.wav|03-01-06-02-01-01-12.wav|03-01-06-02-01-01-13.wav|03-01-05-01-01-02-15.wav|03-01-05-02-01-02-13.wav|03-01-06-02-02-02-06.wav|03-01-05-01-02-02-23.wav|03-01-06-02-01-01-12.wav|03-01-06-01-01-02-17.wav|03-01-06-01-02-01-03.wav
161,56,background_NPARK_006.wav,0,background,NPARK,N/A,7840.0,7844.0,7889.0,N/A
162,1,background_DKITCHEN_001.wav,0,background,DKITCHEN,N/A,7889.0,7893.0,7938.0,N/A
163,66,calm_speech_DKITCHEN_006.wav,1,calm_speech,DKITCHEN,10.1,7938.0,7942.0,7987.0,03-01-02-01-02-01-05.wav|03-01-02-02-01-01-13.wav|03-01-02-01-02-02-22.wav|03-01-02-01-01-01-09.wav|03-01-02-02-02-02-16.wav|03-01-02-02-02-02-07.wav|03-01-02-02-01-01-23.wav|03-01-01-01-01-02-01.wav|03-01-02-02-01-02-14.wav|03-01-02-02-01-02-01.wav|03-01-02-01-01-01-16.wav
164,102,calm_speech_OHALLWAY_002.wav,1,calm_speech,OHALLWAY,6.8,7987.0,7991.0,8036.0,03-01-01-01-01-02-23.wav|03-01-02-01-01-02-19.wav|03-01-02-02-01-01-12.wav|03-01-01-01-01-01-19.wav|03-01-01-01-01-02-21.wav|03-01-02-02-02-01-04.wav|03-01-02-02-02-01-15.wav|03-01-01-01-02-01-15.wav|03-01-02-01-01-01-05.wav|03-01-02-02-02-02-07.wav|03-01-02-01-02-01-18.wav
165,6,background_DKITCHEN_006.wav,0,background,DKITCHEN,N/A,8036.0,8040.0,8085.0,N/A
166,79,calm_speech_DLIVING_009.wav,1,calm_speech,DLIVING,6.1,8085.0,8089.0,8134.0,03-01-02-01-02-02-02.wav|03-01-01-01-01-01-21.wav|03-01-02-01-02-01-09.wav|03-01-02-02-02-02-20.wav|03-01-01-01-01-01-14.wav|03-01-02-02-01-01-10.wav|03-01-01-01-02-01-02.wav|03-01-01-01-02-01-09.wav|03-01-01-01-01-01-15.wav|03-01-02-02-02-02-03.wav|03-01-02-02-01-01-12.wav
167,119,calm_speech_NPARK_009.wav,1,calm_speech,NPARK,6.7,8134.0,8138.0,8183.0,03-01-01-01-01-01-02.wav|03-01-02-01-02-02-01.wav|03-01-01-01-01-01-11.wav|03-01-02-02-01-02-14.wav|03-01-02-01-01-02-08.wav|03-01-02-02-01-01-03.wav|03-01-02-02-02-02-18.wav|03-01-02-02-02-01-05.wav|03-01-02-01-02-01-03.wav|03-01-02-01-01-01-20.wav|03-01-02-01-01-01-16.wav
168,144,distress_PRESTO_004.wav,2,distress,PRESTO,6.4,8183.0,8187.0,8232.0,03-01-06-01-02-02-23.wav|03-01-05-02-01-01-15.wav|03-01-05-01-02-01-01.wav|03-01-06-01-02-02-03.wav|03-01-05-01-02-02-09.wav|03-01-06-01-02-02-05.wav|03-01-05-02-01-01-24.wav|03-01-06-01-02-02-17.wav|03-01-06-01-01-01-04.wav|03-01-05-01-02-02-10.wav|03-01-06-02-01-01-10.wav|03-01-06-01-01-01-02.wav
169,176,distress_NPARK_006.wav,2,distress,NPARK,11.5,8232.0,8236.0,8281.0,03-01-06-01-01-02-23.wav|03-01-05-02-02-02-01.wav|03-01-06-02-01-01-11.wav|03-01-06-01-01-01-10.wav|03-01-06-01-02-01-22.wav|03-01-05-01-02-02-07.wav|03-01-06-02-01-01-20.wav|03-01-06-01-02-02-21.wav|03-01-06-02-02-02-13.wav|03-01-06-01-02-01-14.wav|03-01-05-02-02-01-11.wav
170,145,distress_PRESTO_005.wav,2,distress,PRESTO,11.4,8281.0,8285.0,8330.0,03-01-06-01-02-02-20.wav|03-01-05-01-01-01-03.wav|03-01-06-02-02-02-16.wav|03-01-05-01-01-02-18.wav|03-01-05-02-02-02-21.wav|03-01-05-02-02-01-19.wav|03-01-06-01-01-02-23.wav|03-01-05-02-02-01-10.wav|03-01-05-01-01-01-01.wav|03-01-05-02-02-01-12.wav|03-01-05-02-01-01-19.wav
171,175,distress_NPARK_005.wav,2,distress,NPARK,14.3,8330.0,8334.0,8379.0,03-01-05-02-01-01-02.wav|03-01-06-01-01-02-10.wav|03-01-05-02-02-02-20.wav|03-01-06-01-02-02-11.wav|03-01-06-01-01-01-15.wav|03-01-05-02-02-01-18.wav|03-01-06-01-02-02-16.wav|03-01-05-02-01-01-05.wav|03-01-05-01-02-01-17.wav|03-01-06-01-02-02-09.wav|03-01-06-01-01-02-04.wav|03-01-05-01-02-02-06.wav
172,107,calm_speech_OHALLWAY_007.wav,1,calm_speech,OHALLWAY,14.3,8379.0,8383.0,8428.0,03-01-01-01-01-01-09.wav|03-01-01-01-02-01-11.wav|03-01-02-01-01-01-17.wav|03-01-02-01-02-01-18.wav|03-01-02-01-01-02-14.wav|03-01-01-01-02-02-21.wav|03-01-01-01-02-02-17.wav|03-01-02-01-01-02-07.wav|03-01-02-01-02-01-02.wav|03-01-02-01-01-02-22.wav|03-01-01-01-01-02-15.wav
173,132,distress_DLIVING_002.wav,2,distress,DLIVING,7.4,8428.0,8432.0,8477.0,03-01-06-01-01-01-05.wav|03-01-05-02-01-02-07.wav|03-01-05-02-02-02-20.wav|03-01-05-01-02-01-21.wav|03-01-06-01-02-02-06.wav|03-01-05-02-01-01-21.wav|03-01-06-02-02-01-15.wav|03-01-05-01-01-01-19.wav|03-01-06-01-01-01-19.wav|03-01-06-02-01-02-22.wav|03-01-05-01-01-02-19.wav
174,34,background_SPSQUARE_004.wav,0,background,SPSQUARE,N/A,8477.0,8481.0,8526.0,N/A
175,117,calm_speech_NPARK_007.wav,1,calm_speech,NPARK,11.2,8526.0,8530.0,8575.0,03-01-02-02-02-02-12.wav|03-01-02-02-01-02-16.wav|03-01-02-01-02-01-19.wav|03-01-01-01-01-02-11.wav|03-01-02-01-01-01-16.wav|03-01-02-02-01-01-16.wav|03-01-01-01-02-02-16.wav|03-01-02-02-02-02-17.wav|03-01-01-01-01-02-09.wav|03-01-01-01-02-01-06.wav|03-01-02-02-01-01-20.wav|03-01-01-01-01-02-10.wav
176,15,background_DLIVING_005.wav,0,background,DLIVING,N/A,8575.0,8579.0,8624.0,N/A
177,115,calm_speech_NPARK_005.wav,1,calm_speech,NPARK,10.4,8624.0,8628.0,8673.0,03-01-02-02-01-01-20.wav|03-01-01-01-02-01-12.wav|03-01-01-01-02-02-17.wav|03-01-02-02-02-01-16.wav|03-01-02-02-02-02-10.wav|03-01-01-01-02-01-02.wav|03-01-02-02-02-02-24.wav|03-01-02-01-01-02-10.wav|03-01-02-01-02-01-03.wav|03-01-01-01-01-01-20.wav|03-01-02-02-02-01-13.wav
178,131,distress_DLIVING_001.wav,2,distress,DLIVING,10.2,8673.0,8677.0,8722.0,03-01-06-01-02-01-13.wav|03-01-06-02-02-02-10.wav|03-01-06-02-01-02-11.wav|03-01-06-01-02-01-11.wav|03-01-05-02-01-02-06.wav|03-01-05-02-01-02-17.wav|03-01-06-01-02-01-04.wav|03-01-05-02-01-02-17.wav|03-01-05-01-01-02-12.wav|03-01-05-02-01-01-24.wav|03-01-05-02-02-01-21.wav
179,24,background_PRESTO_004.wav,0,background,PRESTO,N/A,8722.0,8726.0,8771.0,N/A
180,126,distress_DKITCHEN_006.wav,2,distress,DKITCHEN,9.0,8771.0,8775.0,8820.0,03-01-06-01-01-02-05.wav|03-01-06-01-01-01-21.wav|03-01-06-02-02-01-01.wav|03-01-06-02-02-02-24.wav|03-01-06-02-02-01-07.wav|03-01-05-02-02-02-14.wav|03-01-06-02-02-01-11.wav|03-01-06-02-01-02-12.wav|03-01-05-01-01-02-24.wav|03-01-05-01-02-01-19.wav|03-01-06-01-01-02-03.wav
